"Comment","Description","Designator","Footprint","LibRef","Pins","Quantity","PartNumber","url",
"22uF, 25V","desc","C1,C2,C3,C4,C5,C8,C9,","C_1206_3216Metric","libref","2","7","","",
"2.2u","desc","C6,","C_0402_1005Metric","libref","2","1","","",
"220n","desc","C7,","C_0603_1608Metric","libref","2","1","","",
"SS34","desc","D1,","D_SMA","libref","2","1","","",
"B5819W","desc","D2,","D_SOD-123","libref","2","1","","",
"LED_RED","desc","D3,","LED_0603_1608Metric_Castellated","libref","2","1","","",
"Logo","desc","H6,","simple-bldc-logo1","libref","0","1","","",
"68uH","desc","L1,","L_Taiyo-Yuden_NR-60xx_HandSoldering","libref","2","1","","",
"NTMFS4C08N","desc","Q1,Q2,","DFN5_5x6_1.27P_(SO-8FL)","libref","10","2","","",
"5.1k","desc","R1,R3,R7,","R_0402_1005Metric","libref","2","3","","",
"39k","desc","R2,","R_0402_1005Metric","libref","2","1","","",
"10R","desc","R4,R5,","R_0402_1005Metric","libref","2","2","","",
"100R","desc","R8,","R_0402_1005Metric","libref","2","1","","",
"XL1509-ADJE1","desc","U1,","SOIC-8_3.9x4.9mm_P1.27mm","libref","8","1","","",
"IRS2101S","desc","U2,","SOIC-8_3.9x4.9mm_P1.27mm","libref","8","1","","",
"Through Hole Items ",
"MountingHole_Pad","desc","H1,H2,H3,H4,","MountingHole_3.2mm_M3_Pad_Via","libref","9","4","","",
"Conn_01x03","desc","J1,","PinHeader_1x03_P2.54mm_Vertical","libref","3","1","","",
"1R","desc","R6,","R_Axial_Power_L48.0mm_W12.5mm_P55.88mm","libref","2","1","","",
"MOTOR3","desc","NEG1,","1pin_2mm","libref","1","1","","",
"POS","desc","POS1,","1pin_2mm","libref","1","1","","",
